species_name,confidence
Numenius madagascariensis_Far Eastern Curlew,0.05329323932528496
Ocyphaps lophotes_Crested Pigeon,0.543253481388092
Oriolus sagittatus_Olive-backed Oriole,0.21324174106121063
Pachycephala pectoralis_Golden Whistler,0.3576343059539795
Pachycephala rufiventris_Rufous Whistler,0.3556389808654785
Pandion haliaetus_Osprey,0.03872156888246536
Pardalotus punctatus_Spotted Pardalote,0.4313562512397766
Pardalotus striatus_Striated Pardalote,0.21142010390758514
Parvipsitta pusilla_Little Lorikeet,0.06827151030302048
Passer domesticus_House Sparrow,0.2300494909286499
Pelecanus conspicillatus_Australian Pelican,0.3332151770591736
Petrochelidon ariel_Fairy Martin,0.0595962330698967
Petrochelidon nigricans_Tree Martin,0.083573117852211
Petroica boodang_Scarlet Robin,0.040664561092853546
Petroica rosea_Rose Robin,0.09132236987352371
Phalacrocorax carbo_Great Cormorant,0.18039639294147491
Phaps chalcoptera_Common Bronzewing,0.12120919674634933
Philemon corniculatus_Noisy Friarbird,0.39384445548057556
Phylidonyris novaehollandiae_New Holland Honeyeater,0.1640876829624176
Platycercus elegans_Crimson Rosella,0.571406364440918
Platycercus eximius_Eastern Rosella,0.5538021922111511
Plectorhyncha lanceolata_Striped Honeyeater,0.031283821910619736
Porphyrio melanotus_Australasian Swamphen,0.24237214028835297
Psephotus haematonotus_Red-rumped Parrot,0.261508047580719
Psophodes olivaceus_Eastern Whipbird,0.3847486972808838
Ptilonorhynchus violaceus_Satin Bowerbird,0.32244759798049927
Ptilotula fusca_Fuscous Honeyeater,0.0961039811372757
Ptilotula penicillata_White-plumed Honeyeater,0.21722853183746338
Pycnonotus jocosus_Red-whiskered Bulbul,0.030272405594587326
Pyrrholaemus sagittatus_Speckled Warbler,0.09232691675424576
Rhipidura albiscapa_Gray Fantail,0.6761510372161865
Rhipidura leucophrys_Willie-wagtail,0.8796639442443848
Rhipidura rufifrons_Rufous Fantail,0.08358673751354218
Scythrops novaehollandiae_Channel-billed Cuckoo,0.0666770488023758
Sericornis citreogularis_Yellow-throated Scrubwren,0.034293726086616516
Sericornis frontalis_White-browed Scrubwren,0.4748955965042114
Sericornis magnirostra_Large-billed Scrubwren,0.03608229383826256
Smicrornis brevirostris_Weebill,0.1291518658399582
Sphecotheres vieilloti_Australasian Figbird,0.11439630389213562
Stizoptera bichenovii_Double-barred Finch,0.07650560885667801
Strepera graculina_Pied Currawong,0.8731225728988647
Streptopelia chinensis_Spotted Dove,0.18547531962394714
Sturnus vulgaris_European Starling,0.4491260349750519
Synoicus ypsilophorus_Brown Quail,0.032275378704071045
Tachybaptus novaehollandiae_Australasian Grebe,0.19168639183044434
Tadorna tadornoides_Australian Shelduck,0.03565149009227753
Thalasseus bergii_Great Crested Tern,0.18807654082775116
Threskiornis molucca_Australian Ibis,0.275713175535202
Todiramphus sanctus_Sacred Kingfisher,0.17165394127368927
Trichoglossus chlorolepidotus_Scaly-breasted Lorikeet,0.07508880645036697
Trichoglossus moluccanus_Rainbow Lorikeet,0.5998817682266235
Turdus merula_Eurasian Blackbird,0.2062326967716217
Vanellus miles_Masked Lapwing,0.548212468624115
Zosterops lateralis_Silvereye,0.3636432886123657
